Datum,Transaktionstyp,Beschreibung,Betrag,Kategorie,Belegnummer,Status,Notizen,Business/Private
2025-10-14,Gider,PayPal Vinted Alış,-8.64,Mal Alımı,DB-PAYPAL-2025-10-14,Tamamlandı,MGP Vinted - Kleiderkreisel,İŞ
2025-10-15,Gider,OA Spandau,-15.00,Diğer,DB-OA-2025-10-15,Tamamlandı,Spandau işlemi,İŞ
2025-10-20,Gider,IONOS SE Web Hosting,-1.00,Web Hosting,DB-IONOS-2025-10-20,Tamamlandı,Web sitesi hosting,İŞ
2025-10-22,Gider,Auszahlung,-50.00,Nakit Çekme,DB-AUSZ-2025-10-22,Tamamlandı,GA NR07006430,ÖZEL
2025-10-27,Gider,Kaufland,-42.71,Alışveriş,DB-KAUF-2025-10-27,Tamamlandı,Berlin-Wilhelmstadt,ÖZEL
2025-10-27,Gelir,Tipico Gewinn,30.00,Özel Gelir,DB-TIPICO-GEW-2025-10-27,Tamamlandı,Gewinnau/MRwudgSmv,ÖZEL
2025-10-28,Gider,Tipico,-10.00,Özel Harcama,DB-TIPICO-2025-10-28,Tamamlandı,26.10.2025,ÖZEL
2025-10-28,Gider,Tipico,-10.00,Özel Harcama,DB-TIPICO-2025-10-28-2,Tamamlandı,26.10.2025,ÖZEL
2025-10-28,Gider,Tipico,-10.00,Özel Harcama,DB-TIPICO-2025-10-28-3,Tamamlandı,26.10.2025,ÖZEL
2025-10-28,Gider,Tipico,-10.00,Özel Harcama,DB-TIPICO-2025-10-28-4,Tamamlandı,24.10.2025,ÖZEL
2025-10-29,Gider,Auszahlung,-30.00,Nakit Çekme,DB-AUSZ-2025-10-29,Tamamlandı,GA NR07006440,ÖZEL
2025-10-30,Gider,GALERIA PARKEN,-1.50,Park Ücreti,DB-PARK-2025-10-30,Tamamlandı,28.10.2025,İŞ
2025-11-03,Gider,Klarna AliExpress Alış,-10.15,Mal Alımı,DB-KLARNA-2025-11-03,Tamamlandı,Purchase at AliExpress,İŞ
2025-11-04,Gider,Tipico,-10.00,Özel Harcama,DB-TIPICO-2025-11-04,Tamamlandı,01.11.2025,ÖZEL
2025-11-06,Gider,Zinsen/Kosten/Auslagen,-1.36,Banka Ücreti,DB-FEE-2025-11-06,Tamamlandı,Berechtigte Ablehnung,İŞ
2025-11-06,Gelir,Klarna Booking.com Rückgabe,36.44,Geri Ödeme,DB-KLARNA-RET-2025-11-06,Tamamlandı,SEPA Lastschrift-Rückgabe,ÖZEL
2025-11-06,Gelir,Allianz Kfz-Versicherung Rückgabe,420.44,Geri Ödeme,DB-ALLIANZ-RET-2025-11-06,Tamamlandı,SEPA Lastschrift-Rückgabe,İŞ
2025-11-06,Gider,Klarna Booking.com,-36.44,Özel Harcama,DB-KLARNA-BOOK-2025-11-06,Tamamlandı,Purchase at Booking.com,ÖZEL
2025-11-06,Gider,Allianz Kfz-Versicherung,-420.44,Araç Sigortası,DB-ALLIANZ-2025-11-06,Tamamlandı,Vertrag AS-6235897576,İŞ
2025-11-10,Gider,Burcu Kurt-Sorguc Transfer,-500.00,Özel Transfer,DB-BURCU-2025-11-10,Tamamlandı,NOTPROVIDED,ÖZEL
2025-11-10,Gelir,ergema Lohn 10/2025,945.90,Teilzeit Maaş,DB-ERGE-2025-11-10,Tamamlandı,Teilzeit iş maaşı,ÖZEL
2025-11-11,Gider,Zinsen/Kosten/Auslagen,-1.36,Banka Ücreti,DB-FEE-2025-11-11,Tamamlandı,Berechtigte Ablehnung,İŞ
2025-11-11,Gelir,Klarna Booking.com Rückgabe,50.58,Geri Ödeme,DB-KLARNA-RET-2025-11-11,Tamamlandı,SEPA Lastschrift-Rückgabe,ÖZEL
2025-11-11,Gelir,Klarna AliExpress Rückgabe,23.24,Geri Ödeme,DB-KLARNA-RET-2025-11-11-2,Tamamlandı,SEPA Lastschrift-Rückgabe,İŞ
2025-11-11,Gider,Klarna Booking.com,-50.58,Özel Harcama,DB-KLARNA-BOOK-2025-11-11,Tamamlandı,Purchase at Booking.com,ÖZEL
2025-11-11,Gider,Klarna AliExpress,-23.24,Mal Alımı,DB-KLARNA-2025-11-11,Tamamlandı,Purchase at AliExpress,İŞ
2025-11-11,Gider,Allianz Versicherung,-423.44,Sigorta,DB-ALLIANZ-2025-11-11,Tamamlandı,AS-6235897576,İŞ
2025-11-12,Gider,Zinsen/Kosten/Auslagen,-0.68,Banka Ücreti,DB-FEE-2025-11-12,Tamamlandı,Berechtigte Ablehnung,İŞ
2025-11-12,Gelir,Klarna eBay Rückgabe,43.06,Geri Ödeme,DB-KLARNA-RET-2025-11-12,Tamamlandı,SEPA Lastschrift-Rückgabe,İŞ
2025-11-12,Gider,Klarna eBay,-43.06,Mal Alımı,DB-KLARNA-2025-11-12,Tamamlandı,Purchase at eBay,İŞ
2025-11-14,Gider,Klarna AliExpress,-26.74,Mal Alımı,DB-KLARNA-2025-11-14,Tamamlandı,Purchase at AliExpress,İŞ
2025-11-14,Gider,Klarna Booking.com,-57.44,Özel Harcama,DB-KLARNA-BOOK-2025-11-14,Tamamlandı,Purchase at Booking.com,ÖZEL
2025-11-17,Gider,Zinsen/Kosten/Auslagen,-0.68,Banka Ücreti,DB-FEE-2025-11-17,Tamamlandı,Berechtigte Ablehnung,İŞ
2025-11-17,Gelir,Klarna eBay Rückgabe,46.56,Geri Ödeme,DB-KLARNA-RET-2025-11-17,Tamamlandı,SEPA Lastschrift-Rückgabe,İŞ
2025-11-17,Gider,Klarna eBay,-46.56,Mal Alımı,DB-KLARNA-2025-11-17,Tamamlandı,Purchase at eBay,İŞ
2025-11-18,Gelir,Bargeldeinzahlung,200.00,Nakit Yatırma,DB-BAR-2025-11-18,Tamamlandı,Einzahlung 17.11.2025,İŞ
2025-11-19,Gider,Klarna AliExpress,-30.24,Mal Alımı,DB-KLARNA-2025-11-19,Tamamlandı,Purchase at AliExpress,İŞ
2025-11-19,Gider,PayPal Tipico,-10.00,Özel Harcama,DB-PAYPAL-TIP-2025-11-19,Tamamlandı,Tipico Co. Ltd.,ÖZEL
2025-11-20,Gider,Vodafone,-6.02,Telefon/Internet,DB-VODA-2025-11-20,Tamamlandı,11/2025 K-NR. 333497866,İŞ
2025-11-20,Gider,Klarna eBay,-50.06,Mal Alımı,DB-KLARNA-2025-11-20,Tamamlandı,Purchase at eBay,İŞ
2025-11-21,Gider,Klarna Booking.com,-98.33,Özel Harcama,DB-KLARNA-BOOK-2025-11-21,Tamamlandı,Klarna Booking.com,ÖZEL
2025-11-25,Gider,IONOS SE,-1.00,Web Hosting,DB-IONOS-2025-11-25,Tamamlandı,22.11.2025,İŞ
2025-11-28,Gider,Zinsen/Kosten/Auslagen,-1.36,Banka Ücreti,DB-FEE-2025-11-28,Tamamlandı,Berechtigte Ablehnung,İŞ
