Datum,Platform,Transaktionstyp,Beschreibung,Betrag,Kategorie,Belegnummer,Status,Notizen,Business/Private
2025-10-25,Finanzamt,Gewerbe,Gewerbe Anmeldung,0.00,Gründung,GW-2025-10-25,Tamamlandı,25.10.2025 tarihinde Gewerbe açıldı,İŞ
2025-10-14,Deutsche Bank,Gider,PayPal Vinted Alış,-8.64,Mal Alımı,DB-PAYPAL-2025-10-14,Tamamlandı,MGP Vinted - Kleiderkreisel,İŞ
2025-10-15,Kleinanzeigen,Gelir,PayPal Satış,25.00,Satış,PAYPAL-KLEIN-2025-10-15,Tamamlandı,PayPal üzerinden,İŞ
2025-10-20,Amazon,Gider,Koli Bandı Alışı,-5.00,Büromaterial,AMAZON-2025-10-20,Tamamlandı,Amazon'dan bant alışı,İŞ
2025-10-20,Deutsche Bank,Gider,IONOS SE Web Hosting,-1.00,Web Hosting,DB-IONOS-2025-10-20,Tamamlandı,Web sitesi hosting,İŞ
2025-10-30,Deutsche Bank,Gider,GALERIA PARKEN,-1.50,Park Ücreti,DB-PARK-2025-10-30,Tamamlandı,28.10.2025,İŞ
2025-11-03,Deutsche Bank,Gider,Klarna AliExpress Alış,-10.15,Mal Alımı,DB-KLARNA-2025-11-03,Tamamlandı,Purchase at AliExpress,İŞ
2025-11-06,Deutsche Bank,Gelir,Allianz Kfz-Versicherung Rückgabe,420.44,Geri Ödeme,DB-ALLIANZ-RET-2025-11-06,Tamamlandı,SEPA Lastschrift-Rückgabe,İŞ
2025-11-06,Deutsche Bank,Gider,Allianz Kfz-Versicherung,-420.44,Araç Sigortası,DB-ALLIANZ-2025-11-06,Tamamlandı,Vertrag AS-6235897576,İŞ
2025-11-06,Deutsche Bank,Gider,Zinsen/Kosten/Auslagen,-1.36,Banka Ücreti,DB-FEE-2025-11-06,Tamamlandı,Berechtigte Ablehnung,İŞ
2025-11-11,Deutsche Bank,Gelir,Klarna AliExpress Rückgabe,23.24,Geri Ödeme,DB-KLARNA-RET-2025-11-11,Tamamlandı,SEPA Lastschrift-Rückgabe,İŞ
2025-11-11,Deutsche Bank,Gider,Klarna AliExpress,-23.24,Mal Alımı,DB-KLARNA-2025-11-11,Tamamlandı,Purchase at AliExpress,İŞ
2025-11-11,Deutsche Bank,Gider,Allianz Versicherung,-423.44,Sigorta,DB-ALLIANZ-2025-11-11,Tamamlandı,AS-6235897576,İŞ
2025-11-11,Deutsche Bank,Gider,Zinsen/Kosten/Auslagen,-1.36,Banka Ücreti,DB-FEE-2025-11-11,Tamamlandı,Berechtigte Ablehnung,İŞ
2025-11-12,Deutsche Bank,Gelir,Klarna eBay Rückgabe,43.06,Geri Ödeme,DB-KLARNA-RET-2025-11-12,Tamamlandı,SEPA Lastschrift-Rückgabe,İŞ
2025-11-12,Deutsche Bank,Gider,Klarna eBay,-43.06,Mal Alımı,DB-KLARNA-2025-11-12,Tamamlandı,Purchase at eBay,İŞ
2025-11-12,Deutsche Bank,Gider,Zinsen/Kosten/Auslagen,-0.68,Banka Ücreti,DB-FEE-2025-11-12,Tamamlandı,Berechtigte Ablehnung,İŞ
2025-11-14,Deutsche Bank,Gider,Klarna AliExpress,-26.74,Mal Alımı,DB-KLARNA-2025-11-14,Tamamlandı,Purchase at AliExpress,İŞ
2025-11-17,Deutsche Bank,Gelir,Klarna eBay Rückgabe,46.56,Geri Ödeme,DB-KLARNA-RET-2025-11-17,Tamamlandı,SEPA Lastschrift-Rückgabe,İŞ
2025-11-17,Deutsche Bank,Gider,Klarna eBay,-46.56,Mal Alımı,DB-KLARNA-2025-11-17,Tamamlandı,Purchase at eBay,İŞ
2025-11-17,Deutsche Bank,Gider,Zinsen/Kosten/Auslagen,-0.68,Banka Ücreti,DB-FEE-2025-11-17,Tamamlandı,Berechtigte Ablehnung,İŞ
2025-11-18,Deutsche Bank,Gelir,Bargeldeinzahlung,200.00,Nakit Yatırma,DB-BAR-2025-11-18,Tamamlandı,Einzahlung 17.11.2025 (Flohmarkt),İŞ
2025-11-19,Deutsche Bank,Gider,Klarna AliExpress,-30.24,Mal Alımı,DB-KLARNA-2025-11-19,Tamamlandı,Purchase at AliExpress,İŞ
2025-11-20,Deutsche Bank,Gider,Vodafone,-6.02,Telefon/Internet,DB-VODA-2025-11-20,Tamamlandı,11/2025 K-NR. 333497866,İŞ
2025-11-20,Deutsche Bank,Gider,Klarna eBay,-50.06,Mal Alımı,DB-KLARNA-2025-11-20,Tamamlandı,Purchase at eBay,İŞ
2025-11-25,Deutsche Bank,Gider,IONOS SE,-1.00,Web Hosting,DB-IONOS-2025-11-25,Tamamlandı,22.11.2025,İŞ
2025-11-26,Vinted,Gelir,Transaction #1672531376,5.00,Satış,FRLT-1672531376,Tamamlandı,26.11.2025 22:20,İŞ
2025-11-27,Vinted,Gelir,Transaction #16715417269,20.00,Satış,FRLT-16715417269,Tamamlandı,27.11.2025 17:05,İŞ
2025-11-27,Vinted,Gelir,Transaction #16701769706,15.00,Satış,FRLT-16701769706,Tamamlandı,27.11.2025 18:31,İŞ
2025-11-27,Vinted,Gelir,Transaction #16702714275,8.00,Satış,FRLT-16702714275,Tamamlandı,27.11.2025 19:42,İŞ
2025-11-28,Vinted,Gelir,Transaction #167681965696,15.00,Satış,FRLT-167681965696,Tamamlandı,28.11.2025 15:46,İŞ
2025-11-28,Deutsche Bank,Gelir,Klarna AliExpress Rückgabe,9.39,Geri Ödeme,DB-KLARNA-RET-2025-11-28,Tamamlandı,SEPA Lastschrift-Rückgabe,İŞ
2025-11-28,Deutsche Bank,Gelir,Klarna AliExpress Rückgabe,18.07,Geri Ödeme,DB-KLARNA-RET-2025-11-28-2,Tamamlandı,SEPA Lastschrift-Rückgabe,İŞ
2025-11-28,Deutsche Bank,Gider,Klarna AliExpress,-18.07,Mal Alımı,DB-KLARNA-2025-11-28,Tamamlandı,Purchase at AliExpress,İŞ
2025-11-28,Deutsche Bank,Gider,Klarna AliExpress,-9.39,Mal Alımı,DB-KLARNA-2025-11-28-2,Tamamlandı,Purchase at AliExpress,İŞ
2025-11-28,Deutsche Bank,Gider,Zinsen/Kosten/Auslagen,-1.36,Banka Ücreti,DB-FEE-2025-11-28,Tamamlandı,Berechtigte Ablehnung,İŞ
2025-11-29,Vinted,Gelir,Transaction #16722055813,45.00,Satış,FRLT-16722055813,Tamamlandı,29.11.2025 08:47,İŞ
2025-11-29,Vinted,Gelir,Transaction #16704770302,15.00,Satış,FRLT-16704770302,Tamamlandı,29.11.2025 13:01,İŞ
2025-12-01,Deutsche Bank,Gelir,Bargeldeinzahlung,100.00,Nakit Yatırma,DB-BAR-2025-12-01,Tamamlandı,Einzahlung 29.11.2025 (Flohmarkt),İŞ
2025-12-01,Vinted,Gelir,Transaction #16778963621,22.50,Satış,FRLT-16778963621,Tamamlandı,01.12.2025 15:33,İŞ
2025-12-02,Vinted,Gelir,Transaction #16757632709,19.00,Satış,FRLT-16757632709,Tamamlandı,02.12.2025 14:11,İŞ
2025-12-02,Deutsche Bank,Gider,Klarna Vinted,-14.74,Mal Alımı,DB-KLARNA-2025-12-02,Tamamlandı,Purchase at Vinted,İŞ
2025-12-02,Deutsche Bank,Gider,Klarna AliExpress,-10.15,Mal Alımı,DB-KLARNA-2025-12-02-2,Tamamlandı,Purchase at AliExpress,İŞ
