Tarih,Platform,İşlem Türü,Açıklama,Gelir (€),Gider (€),Ödeme Yöntemi,Belge No,Durum,Notlar
2025-11-26,Vinted,Gelir,Ohrringe Gold,5.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-11-27,Vinted,Gelir,Zara Boots 45,20.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-11-27,Vinted,Gelir,Tommy Hilfiger Pullover XL,15.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-11-27,Vinted,Gelir,H&M Stiefel 45,8.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-11-28,Vinted,Gelir,H&M Steppjacke L,15.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-11-29,Vinted,Gelir,Columbia Winterstiefel 46,45.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-11-29,Vinted,Gelir,Tommy Hilfiger Pullover L,15.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-11-29,Vinted,Gelir,Swatch "One Hundred Million",15.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-11-29,Vinted,Gider,Huawei P30 Lite Alım,0.00,36.49,Vinted Bakiye,,Tamamlandı,Stok
2025-11-29,Vinted,Gider,Telefono + Componenti Huawei,0.00,25.99,Vinted Bakiye,,Tamamlandı,Stok
2025-11-29,Vinted,Gider,Huawei P30 lite 6/128gb,0.00,31.24,Vinted Bakiye,,Tamamlandı,Stok
2025-11-30,Vinted,Gider,Mario Plüschfigur,0.00,11.79,Vinted Bakiye,,Tamamlandı,Stok
2025-12-01,Vinted,Gelir,H&M Wollmantel 56 XL,22.50,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-01,Vinted,Gider,Daunenjacke,0.00,15.59,Vinted Bakiye,,Tamamlandı,Stok
2025-12-01,Vinted,Gider,Crocs,0.00,14.64,Vinted Bakiye,,Tamamlandı,Stok
2025-12-01,Vinted,Gider,Adidas Cross Fit 45⅓,0.00,12.54,Vinted Bakiye,,Tamamlandı,Stok
2025-12-02,Vinted,Gelir,Paul & Shark Sweatjacke XXL,19.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-02,Vinted,Gider,Adidas Schuh,0.00,20.94,Vinted Bakiye,,Tamamlandı,Stok
2025-12-03,Vinted,Gelir,New Balance 480 45,13.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-03,Vinted,Gelir,Adidas adiFOM Q 45⅓,35.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-04,Vinted,Gider,Umhängetasche Desigual,0.00,28.19,Vinted Bakiye,,Tamamlandı,Stok
2025-12-05,Vinted,İptal,Jack Wolfskin Jacke (İptal Edildi),0.00,0.00,Vinted Bakiye,,İptal,Net etkisi 0€
2025-12-06,Vinted,Gelir,Zara Strickpullover XL,10.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-08,Vinted,Gider,Huawei P30 Lite Alım,0.00,25.49,Vinted Bakiye,,Tamamlandı,Stok
2025-12-08,Vinted,Gelir,Zara Schnürstiefel 39,10.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-12,Vinted,Gelir,Puma Sneaker 46,10.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-12,Vinted,Gelir,Icepeak Skijacke 54 XL,20.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-13,Vinted,Transfer,Bankaya Transfer (1/3),0.00,50.00,Deutsche Bank,,Tamamlandı,
