Datum,Transaktionstyp,Beschreibung,Betrag,Kategorie,Belegnummer,Status,Notizen
2025-10-01,Gider,AliExpress Alış (Taksit 1/6),10.15,Mal Alımı,KLARNA-2025-10-01,Tamamlandı,6 taksitli alış - İŞ
2025-10-02,Gider,AliExpress Alış (Taksit 2/6),9.39,Mal Alımı,KLARNA-2025-10-02,Tamamlandı,6 taksitli alış - İŞ
2025-10-03,Gider,AliExpress Alış (Taksit 3/12),18.07,Mal Alımı,KLARNA-2025-10-03,Tamamlandı,12 taksitli alış - İŞ
2025-11-09,Gider,AliExpress Alış (Taksit 4/6),10.15,Mal Alımı,KLARNA-2025-11-09,Tamamlandı,6 taksitli alış - İŞ
2025-11-11,Gider,AliExpress Alış (Taksit 5/12),21.57,Mal Alımı,KLARNA-2025-11-11,Tamamlandı,12 taksitli alış - İŞ
2025-11-11,Gider,AliExpress Alış (Taksit 6/6),12.89,Mal Alımı,KLARNA-2025-11-11-2,Tamamlandı,6 taksitli alış - İŞ
2025-11-15,Gider,eBay Alış (Klarna),-25.00,Mal Alımı,KLARNA-EBAY-2025-11-15,Tamamlandı,eBay'den alış - İŞ
2025-11-20,Gider,eBay Alış (Klarna),-30.00,Mal Alımı,KLARNA-EBAY-2025-11-20,Tamamlandı,eBay'den alış - İŞ
2025-12-09,Gider,Vinted Alış (Klarna),-14.74,Mal Alımı,KLARNA-2025-12-09,Tamamlandı,Vinted'den alış - İŞ
2025-12-15,Gider,Gebündelte Zahlung (3 Zahlungen),340.24,Mal Alımı,KLARNA-2025-12-15,Tamamlandı,3 ödeme birleştirildi - İŞ
2025-12-27,Gider,AliExpress Alış (Taksit),27.00,Mal Alımı,KLARNA-2025-12-27,Tamamlandı,27.12.2025 taksit - İŞ
2025-12-31,Gider,AliExpress Alış (Taksit),10.00,Mal Alımı,KLARNA-2025-12-31,Tamamlandı,31.12.2025 taksit - İŞ
2025-10-10,Gider,Booking.com Ödeme (ÖZEL),-50.00,Özel Harcama,KLARNA-BOOKING-2025-10-10,Tamamlandı,ÖZEL - Finanzamt'a dahil edilmeyecek
2025-11-15,Gider,Booking.com Ödeme (ÖZEL),-75.20,Özel Harcama,KLARNA-BOOKING-2025-11-15,Tamamlandı,ÖZEL - Finanzamt'a dahil edilmeyecek
2025-12-20,Gider,Booking.com Ödeme (ÖZEL),-50.00,Özel Harcama,KLARNA-BOOKING-2025-12-20,Tamamlandı,ÖZEL - Finanzamt'a dahil edilmeyecek
,TOPLAM İŞ GİDERLERİ,Toplam İş ile İlgili Klarna Giderleri,509.21,,
,TOPLAM ÖZEL GİDERLER,Toplam Özel Klarna Giderleri,-175.20,,
,NET İŞ GİDERİ,Net İş Gideri (Finanzamt için),509.21,,

