Datum,Transaktionstyp,Beschreibung,Betrag,Kategorie,Belegnummer,Status,Notizen
2025-11-26,Gelir,Transaction #1672531376,5.00,Satış,FRLT-1672531376,Tamamlandı,26.11.2025 22:20
2025-11-27,Gelir,Transaction #16715417269,20.00,Satış,FRLT-16715417269,Tamamlandı,27.11.2025 17:05
2025-11-27,Gelir,Transaction #16701769706,15.00,Satış,FRLT-16701769706,Tamamlandı,27.11.2025 18:31
2025-11-27,Gelir,Transaction #16702714275,8.00,Satış,FRLT-16702714275,Tamamlandı,27.11.2025 19:42
2025-11-28,Gelir,Transaction #167681965696,15.00,Satış,FRLT-167681965696,Tamamlandı,28.11.2025 15:46
2025-11-29,Gelir,Transaction #16722055813,45.00,Satış,FRLT-16722055813,Tamamlandı,29.11.2025 08:47
2025-11-29,Gelir,Transaction #16704770302,15.00,Satış,FRLT-16704770302,Tamamlandı,29.11.2025 13:01
2025-12-01,Gelir,Transaction #16778963621,22.50,Satış,FRLT-16778963621,Tamamlandı,01.12.2025 15:33
2025-12-02,Gelir,Transaction #16757632709,19.00,Satış,FRLT-16757632709,Tamamlandı,02.12.2025 14:11
2025-12-03,Gelir,Transaction #16763021009,13.00,Satış,FRLT-16763021009,Tamamlandı,03.12.2025 20:26
2025-12-06,Gelir,Transaction #16706321009,10.00,Satış,FRLT-16706321009,Tamamlandı,06.12.2025 14:28
2025-12-08,Gelir,Transaction #16796533038,20.00,Satış,FRLT-16796533038,Tamamlandı,08.12.2025 22:39
2025-12-12,Gelir,Transaction #16901622177,10.00,Satış,FRLT-16901622177,Tamamlandı,12.12.2025 17:21
2025-12-12,Gelir,Transaction #16965303638,20.00,Satış,FRLT-16965303638,Tamamlandı,12.12.2025 18:03
2025-12-17,Gelir,Transaction #17024594613,10.00,Satış,FRLT-17024594613,Tamamlandı,17.12.2025 08:04
2025-12-17,Gelir,Transaction #17029060948,20.00,Satış,FRLT-17029060948,Tamamlandı,17.12.2025 15:08
2025-12-17,Gelir,Transaction #16966570582,19.00,Satış,FRLT-16966570582,Tamamlandı,17.12.2025 18:52
2025-12-19,Gelir,Transaction #17092024132,15.00,Satış,FRLT-17092024132,Tamamlandı,19.12.2025 16:31
2025-12-19,Gelir,Transaction #17094850873,20.00,Satış,FRLT-17094850873,Tamamlandı,19.12.2025 16:48
2025-12-20,Gelir,Transaction #17103072992,25.00,Satış,FRLT-17103072992,Tamamlandı,20.12.2025 10:26
2025-12-20,Gelir,Transaction #17110047111,12.00,Satış,FRLT-17110047111,Tamamlandı,20.12.2025 14:11
2025-12-20,Gelir,ASOS Chiffon Kleid,12.00,Satış,VINTED-2025-12-20,Tamamlandı,20.12.2025 satışı
2025-12-20,Gelir,Adidas Stan Smith Sneaker,25.00,Satış,VINTED-2025-12-20-2,Tamamlandı,20.12.2025 satışı
2025-12-19,Gelir,Icepeak Skijacke,20.00,Satış,VINTED-2025-12-19,Tamamlandı,19.12.2025 satışı
2025-12-19,Gelir,ASOS Plissee Kleid,15.00,Satış,VINTED-2025-12-19-2,Tamamlandı,19.12.2025 satışı
2025-12-21,Gider,Überweisung auf Bankkonto,-50.00,Banka Transferi,DB-2025-12-21,Tamamlandı,Deutsche Bank'a çekildi
2025-12-21,Gider,Herren Jacke mit Kunstfell kragen,-19.40,Ürün Alımı,VINTED-ALIS-2025-12-21,Tamamlandı,21.12.2025 alış
2025-12-09,Gider,Vinted Alış (Klarna),-14.74,Ürün Alımı,KLARNA-2025-12-09,Tamamlandı,Klarna ile ödendi
2025-10-01,Gider,Vinted Site İçi Alış (Türk Kartı),-50.00,Ürün Alımı,VINTED-TR-2025-10-01,Beklemede,Einlage aus Privatvermögen
2025-10-15,Gider,Vinted Site İçi Alış (Türk Kartı),-75.00,Ürün Alımı,VINTED-TR-2025-10-15,Beklemede,Einlage aus Privatvermögen
2025-10-20,Gider,Vinted Site İçi Alış (Türk Kartı),-100.00,Ürün Alımı,VINTED-TR-2025-10-20,Beklemede,Einlage aus Privatvermögen
2025-11-05,Gider,Vinted Site İçi Alış (Türk Kartı),-125.00,Ürün Alımı,VINTED-TR-2025-11-05,Beklemede,Einlage aus Privatvermögen
2025-11-10,Gider,Vinted Site İçi Alış (Türk Kartı),-150.00,Ürün Alımı,VINTED-TR-2025-11-10,Beklemede,Einlage aus Privatvermögen
2025-11-15,Gider,Vinted Komisyon (Toplam),-40.00,Komisyon,VINTED-KOM-2025-11-15,Tamamlandı,Kasım ayı komisyonları
2025-12-15,Gider,Vinted Komisyon (Toplam),-50.00,Komisyon,VINTED-KOM-2025-12-15,Tamamlandı,Aralık ayı komisyonları
2025-11-15,Gider,Vinted Kargo Ücretleri (Toplam),-30.00,Kargo,VINTED-KARGO-2025-11-15,Tamamlandı,Kasım ayı kargo ücretleri
2025-12-15,Gider,Vinted Kargo Ücretleri (Toplam),-40.00,Kargo,VINTED-KARGO-2025-12-15,Tamamlandı,Aralık ayı kargo ücretleri
,TOPLAM GELİR,Toplam Vinted Gelirleri,398.50,,
,TOPLAM GİDER,Toplam Vinted Giderleri,-638.14,,
,NET KÂR/ZARAR,Net Vinted Sonucu,-239.64,,

