Datum,Transaktionstyp,Beschreibung,Betrag,Kategorie,Belegnummer,Status,Notizen
2025-11-01,Gelir,Telefon Satışı,90.00,Satış,EBAY-2025-11-01,Tamamlandı,Telefon satışı
2025-11-01,Gider,eBay Komisyon,-10.00,Komisyon,EBAY-KOM-2025-11-01,Tamamlandı,~10% komisyon (tahmini)
2025-11-01,Gider,eBay Kargo,-10.00,Kargo,EBAY-KARGO-2025-11-01,Tamamlandı,Kargo ücreti (tahmini)
2025-11-01,Gelir,Deutsche Bank Transfer,70.00,Banka Transferi,DB-EBAY-2025-11-01,Tamamlandı,Deutsche Bank'a çekildi (net kâr)
2025-11-15,Gider,eBay Ürün Alımı (Klarna),-25.00,Ürün Alımı,KLARNA-EBAY-2025-11-15,Tamamlandı,Klarna ile eBay'den alış
2025-11-20,Gider,eBay Ürün Alımı (Klarna),-30.00,Ürün Alımı,KLARNA-EBAY-2025-11-20,Tamamlandı,Klarna ile eBay'den alış
,TOPLAM GELİR,Toplam eBay Gelirleri,160.00,,
,TOPLAM GİDER,Toplam eBay Giderleri,-75.00,,
,NET KÂR/ZARAR,Net eBay Sonucu,85.00,,

